,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
168,"Midnight Sky","Miley Cyrus",656039,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
169,"Meu talismã",IZA,654670,https://open.spotify.com/track/5aayWOEE7u7bxZ3r7dwIrX
170,"Vai Me Dando Corda - Ao Vivo","Grupo Menos É Mais",654212,https://open.spotify.com/track/77ZVVjhuCtA1SF8hZYaDAF
171,Wonder,"Shawn Mendes",653866,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
172,"Rave Balança E Bafora",Ventura,652504,https://open.spotify.com/track/7tswnwncDD0zJ1JpFf13Gl
173,"Tchau Brigado - Ao Vivo","Humberto & Ronaldo",650536,https://open.spotify.com/track/2TR917wkDeRvwTE5cSfZFf
174,"Só Tem Eu","Zé Felipe",649376,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0
175,"Lose Control",MEDUZA,648647,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
176,Believer,"Imagine Dragons",646522,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
177,"Vitória Chegou","Mc Lipi",645277,https://open.spotify.com/track/541XTa1azDkMp2cFsM1Hcw
178,"Cheiro de Saudade","Guilherme & Benuto",643014,https://open.spotify.com/track/6q4gQcJ1JousmpmUTw0E5f
179,"Mulher Cativante","MC Paulin da Capital",642101,https://open.spotify.com/track/0ItBgjbN1F82yX73rwTIg0
180,"Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo","Yasmin Santos",641784,https://open.spotify.com/track/3ZROq16fQ1o2dWEGkHPHkJ
181,Amoreco,"Simone & Simaria",638766,https://open.spotify.com/track/32qETd0e2eKMs2BiMocPc0
182,"Pretty Savage",BLACKPINK,638469,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
183,"Já Que Me Ensinou a Beber","Os Barões Da Pisadinha",637184,https://open.spotify.com/track/2zv8VuCCLdcSIefH3BOeuu
184,"Sou Vitorioso","Mc Lele JP",637177,https://open.spotify.com/track/37hCsK2djczyRGWMjqzbxD
185,"You Got It",Vedo,634666,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
186,Chupadinha,"Os Barões Da Pisadinha",632943,https://open.spotify.com/track/0BVRi6cizWdDrLRmKI0qsw
187,"Já que me ensinou a beber","Thiago Brava",632939,https://open.spotify.com/track/4aajF8YX6i8guXdLaW82eS
188,"Tempo Perdido","Legião Urbana",630671,https://open.spotify.com/track/7MnT7msJZg3XBAS0OTfGrB
189,Uau!,"Costa Gold",626838,https://open.spotify.com/track/5jo4ocTfihMYTsq1Z4ze9h
190,Perdição,L7NNON,625862,https://open.spotify.com/track/7FikD4RFpmSZIvoP3rRwsS
191,"Laugh Now Cry Later (feat. Lil Durk)",Drake,624545,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
192,"Erro Antigo - Ao Vivo","Diego & Victor Hugo",624193,https://open.spotify.com/track/7qpXCkcr3Zj4LDvdiWryns
193,"Te gusta","MC Kevinho",622203,https://open.spotify.com/track/0h5iRD8nlDtcn4rwbZzNgg
194,"Se Ferrou","MC Kevinho",621375,https://open.spotify.com/track/4c21Aq5C8YMDBQWt9bjYBF
195,"Ferida Curada","Zé Neto & Cristiano",616769,https://open.spotify.com/track/1U3tv41tFRgOfbytpuYQrR
196,"Adore You","Harry Styles",615918,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
197,"Hear Me Tonight",Alok,611958,https://open.spotify.com/track/0v8OKUrqZGoEbgEUXScRSQ
198,Nêga,"Tarcísio do Acordeon",610194,https://open.spotify.com/track/3S2iI46NmKyZsoxs2NByIP
199,"Só Gratidão","Mc Lipi",607191,https://open.spotify.com/track/3HCvks6mkO22FzhieKHI30
200,"Atrasadinha - Ao Vivo","Felipe Araújo",606478,https://open.spotify.com/track/4DfPhCFm0Cx6VXr5Rxkx6D
